Stu Strm Ldesc,Ag Area Sdesc,Cla Subject Ldesc,Cla Catalog Nbr,Cla Class Section,Cla Instructor Name,Official Enrollmt,Grades Received,Grades Pct of Enrolled,gpa,A,A-,B+,B,B- ,C+,C,C- ,D+,D,D- ,"F, F+",Cr,Nc,Other
Fall 2015,Arch&UrbPl,Architecture, 100,001,"Keane,Mark Richard",172,157,91.3%,2.376,23,11,17,27,10,12,9,9,9,2,2,26,,,
Fall 2015,Arch&UrbPl,Architecture, 100,202,"Keane,Mark Richard",26,20,76.9%,2.451,3,3,1,4,2,1,,,1,1,1,3,,,
Fall 2015,Arch&UrbPl,Architecture, 100,Course Total,Course Total,198,177,89.4%,2.384,26,14,18,31,12,13,9,9,10,3,3,29,,,
Fall 2015,Arch&UrbPl,Architecture, 102,001,"Benyamin,Jasmine W",122,118,96.7%,3.189,49,17,10,16,4,4,6,,,4,1,7,,,
Fall 2015,Arch&UrbPl,Architecture, 102,Course Total,Course Total,122,118,96.7%,3.189,49,17,10,16,4,4,6,,,4,1,7,,,
Fall 2015,Arch&UrbPl,Architecture, 110,001,"Taylor,Tammy S",76,75,98.7%,2.911,4,14,23,13,5,3,,3,5,,5,,,,
Fall 2015,Arch&UrbPl,Architecture, 110,Course Total,Course Total,76,75,98.7%,2.911,4,14,23,13,5,3,,3,5,,5,,,,
Fall 2015,Arch&UrbPl,Architecture, 190,001,"Keogh,Sarah H",16,16,100.0%,3.604,9,2,1,2,1,1,,,,,,,,,
Fall 2015,Arch&UrbPl,Architecture, 190,002,"Mojtahedi,Amin",17,16,94.1%,3.563,7,4,2,,2,1,,,,,,,,,
Fall 2015,Arch&UrbPl,Architecture, 190,Course Total,Course Total,33,32,97.0%,3.584,16,6,3,2,3,2,,,,,,,,,
Fall 2015,Arch&UrbPl,Architecture, 300,401,"Sobti,Manu P",103,102,99.0%,3.367,16,42,20,13,3,1,3,,,,,3,,,1
Fall 2015,Arch&UrbPl,Architecture, 300,Course Total,Course Total,103,102,99.0%,3.367,16,42,20,13,3,1,3,,,,,3,,,1
Fall 2015,Arch&UrbPl,Architecture, 301,001,"Thomson,Gregory D",20,18,90.0%,2.823,1,3,5,,4,,,,,,,2,,,3
Fall 2015,Arch&UrbPl,Architecture, 301,Course Total,Course Total,20,18,90.0%,2.823,1,3,5,,4,,,,,,,2,,,3
Fall 2015,Arch&UrbPl,Architecture, 310,801,"Furgiuele,Antonio",83,79,95.2%,3.161,11,20,13,19,7,2,3,1,,1,,2,,,
Fall 2015,Arch&UrbPl,Architecture, 310,Course Total,Course Total,83,79,95.2%,3.161,11,20,13,19,7,2,3,1,,1,,2,,,
Fall 2015,Arch&UrbPl,Architecture, 350,001,"Keane,Mark Richard",55,54,98.2%,3.246,7,15,10,12,5,1,2,,,,,1,,,1
Fall 2015,Arch&UrbPl,Architecture, 350,Course Total,Course Total,55,54,98.2%,3.246,7,15,10,12,5,1,2,,,,,1,,,1
Fall 2015,Arch&UrbPl,Architecture, 380,001,"Keane,Mark Richard",24,24,100.0%,2.805,2,1,4,5,6,4,1,,,,,1,,,
Fall 2015,Arch&UrbPl,Architecture, 380,Course Total,Course Total,24,24,100.0%,2.805,2,1,4,5,6,4,1,,,,,1,,,
Fall 2015,Arch&UrbPl,Architecture, 382,001,"Stagg,Josef",24,24,100.0%,3.584,11,6,3,3,,,,,,1,,,,,
Fall 2015,Arch&UrbPl,Architecture, 382,Course Total,Course Total,24,24,100.0%,3.584,11,6,3,3,,,,,,1,,,,,
Fall 2015,Arch&UrbPl,Architecture, 390,001,"Lettow,Ash J",14,14,100.0%,2.977,,2,1,7,3,,1,,,,,,,,
Fall 2015,Arch&UrbPl,Architecture, 390,002,"Cornelius,Chris T",12,11,91.7%,3.272,,2,5,4,,,,,,,,,,,
Fall 2015,Arch&UrbPl,Architecture, 390,003,"Hu,Lingqian",9,9,100.0%,2.813,,1,2,3,,2,,,1,,,,,,
Fall 2015,Arch&UrbPl,Architecture, 390,004,"Thomson,Gregory D",11,10,90.9%,3.266,4,,2,1,1,1,1,,,,,,,,
Fall 2015,Arch&UrbPl,Architecture, 390,005,"Zell,Maureen R",15,14,93.3%,3.357,10,,1,1,,,,,,,1,1,,,
Fall 2015,Arch&UrbPl,Architecture, 390,Course Total,Course Total,61,58,95.1%,3.149,14,5,11,16,4,3,2,,1,,1,1,,,
Fall 2015,Arch&UrbPl,Architecture, 410,801,"Shields,James W",99,99,100.0%,3.225,5,24,24,30,12,1,1,1,,,,,,,1
Fall 2015,Arch&UrbPl,Architecture, 410,Course Total,Course Total,99,99,100.0%,3.225,5,24,24,30,12,1,1,1,,,,,,,1
Fall 2015,Arch&UrbPl,Architecture, 510,001,"Lo Ricco,Marco T",25,24,96.0%,3.392,11,5,2,3,,,,,,,,2,,,1
Fall 2015,Arch&UrbPl,Architecture, 510,Course Total,Course Total,25,24,96.0%,3.392,11,5,2,3,,,,,,,,2,,,1
Fall 2015,Arch&UrbPl,Architecture, 516,001,"Earnest,Royce Michael",32,29,90.6%,3.472,8,8,4,7,1,1,,,,,,,,,
Fall 2015,Arch&UrbPl,Architecture, 516,Course Total,Course Total,32,29,90.6%,3.472,8,8,4,7,1,1,,,,,,,,,
Fall 2015,Arch&UrbPl,Architecture, 522,001,"Utzinger,Dennis M",29,28,96.6%,3.704,8,15,5,,,,,,,,,,,,
Fall 2015,Arch&UrbPl,Architecture, 522,Course Total,Course Total,29,28,96.6%,3.704,8,15,5,,,,,,,,,,,,
Fall 2015,Arch&UrbPl,Architecture, 533,001,"Moon,Whitney M",24,23,95.8%,3.827,15,5,2,1,,,,,,,,,,,
Fall 2015,Arch&UrbPl,Architecture, 533,Course Total,Course Total,24,23,95.8%,3.827,15,5,2,1,,,,,,,,,,,
Fall 2015,Arch&UrbPl,Architecture, 550,001,"Schermer,Brian K",12,9,75.0%,3.791,5,1,2,,,,,,,,,,,,1
Fall 2015,Arch&UrbPl,Architecture, 550,Course Total,Course Total,12,9,75.0%,3.791,5,1,2,,,,,,,,,,,,1
Fall 2015,Arch&UrbPl,Architecture, 560,001,"Jarosz,Matthew T",28,28,100.0%,3.072,12,3,2,3,2,2,,,,,2,2,,,
Fall 2015,Arch&UrbPl,Architecture, 560,Course Total,Course Total,28,28,100.0%,3.072,12,3,2,3,2,2,,,,,2,2,,,
Fall 2015,Arch&UrbPl,Architecture, 580,001,"Keane,Mark Richard",19,19,100.0%,3.088,5,2,2,3,2,2,2,1,,,,,,,
Fall 2015,Arch&UrbPl,Architecture, 580,Course Total,Course Total,19,19,100.0%,3.088,5,2,2,3,2,2,2,1,,,,,,,
