Stu Strm Ldesc,Ag Area Sdesc,Cla Subject Ldesc,Cla Catalog Nbr,Cla Class Section,Cla Instructor Name,Official Enrollmt,Grades Received,Grades Pct of Enrolled,gpa,A,A-,B+,B,B- ,C+,C,C- ,D+,D,D- ,"F, F+",W,Cr,Nc,Other
Fall 2016,Arch&UrbPl,Architecture, 100,001,"Keane,Mark Richard",170,154,90.6%,2.861,25,10,14,26,40,9,4,2,1,1,1,8,6,,,13
Fall 2016,Arch&UrbPl,Architecture, 100,202,"Keane,Mark Richard",32,27,84.4%,2.873,4,2,4,4,2,1,2,,,,,2,1,,,6
Fall 2016,Arch&UrbPl,Architecture, 100,203,"Keane,Mark Richard",13,11,84.6%,3.750,5,1,1,1,,,,,,,,,,,,3
Fall 2016,Arch&UrbPl,Architecture, 100,Course Total,Course Total,215,192,89.3%,2.904,34,13,19,31,42,10,6,2,1,1,1,10,7,,,22
Fall 2016,Arch&UrbPl,Architecture, 102,001,"Benyamin,Jasmine W",170,162,95.3%,2.637,22,17,17,31,9,16,14,8,7,4,5,9,4,,2,1
Fall 2016,Arch&UrbPl,Architecture, 102,Course Total,Course Total,170,162,95.3%,2.637,22,17,17,31,9,16,14,8,7,4,5,9,4,,2,1
Fall 2016,Arch&UrbPl,Architecture, 110,001,"Stroschein-Taylor,Tammy S",91,87,95.6%,2.843,26,10,10,12,3,2,7,4,1,2,1,9,2,,,
Fall 2016,Arch&UrbPl,Architecture, 110,Course Total,Course Total,91,87,95.6%,2.843,26,10,10,12,3,2,7,4,1,2,1,9,2,,,
Fall 2016,Arch&UrbPl,Architecture, 190,001,"Anderson,Cynthia Elizabeth",15,15,100.0%,3.048,6,3,,1,,1,,,1,1,,1,,,,1
Fall 2016,Arch&UrbPl,Architecture, 190,002,"Saboori,Leila",15,15,100.0%,3.244,4,3,3,1,,2,2,,,,,,,,,
Fall 2016,Arch&UrbPl,Architecture, 190,Course Total,Course Total,30,30,100.0%,3.149,10,6,3,2,,3,2,,1,1,,1,,,,1
Fall 2016,Arch&UrbPl,Architecture, 282,401,"Reynolds,Kyle G",115,109,94.8%,2.682,17,16,18,18,7,6,5,2,1,1,1,16,4,,,1
Fall 2016,Arch&UrbPl,Architecture, 282,Course Total,Course Total,115,109,94.8%,2.682,17,16,18,18,7,6,5,2,1,1,1,16,4,,,1
Fall 2016,Arch&UrbPl,Architecture, 300,001,"Benyamin,Jasmine W",9,8,88.9%,3.084,,2,2,2,1,,1,,,,,,,,,
Fall 2016,Arch&UrbPl,Architecture, 300,Course Total,Course Total,9,8,88.9%,3.084,,2,2,2,1,,1,,,,,,,,,
Fall 2016,Arch&UrbPl,Architecture, 301,401,"Utzinger,Dennis M",87,84,96.6%,3.191,16,18,16,15,10,2,2,2,,1,,2,,,,
Fall 2016,Arch&UrbPl,Architecture, 301,Course Total,Course Total,87,84,96.6%,3.191,16,18,16,15,10,2,2,2,,1,,2,,,,
Fall 2016,Arch&UrbPl,Architecture, 310,401,"Tejchman,Filip",109,102,93.6%,3.267,27,23,11,17,12,2,3,1,1,1,,2,3,,,2
Fall 2016,Arch&UrbPl,Architecture, 310,Course Total,Course Total,109,102,93.6%,3.267,27,23,11,17,12,2,3,1,1,1,,2,3,,,2
Fall 2016,Arch&UrbPl,Architecture, 350,001,"Keane,Mark Richard",34,33,97.1%,3.177,6,3,8,11,1,1,1,,,,,1,,,,1
Fall 2016,Arch&UrbPl,Architecture, 350,Course Total,Course Total,34,33,97.1%,3.177,6,3,8,11,1,1,1,,,,,1,,,,1
Fall 2016,Arch&UrbPl,Architecture, 380,001,"Keane,Mark Richard",12,12,100.0%,2.752,1,3,,3,2,,1,1,,,,1,,,,
Fall 2016,Arch&UrbPl,Architecture, 380,Course Total,Course Total,12,12,100.0%,2.752,1,3,,3,2,,1,1,,,,1,,,,
