Ag Area Sdesc,Cla Subject Ldesc,Cla Catalog Nbr,Cla Class Section,Cla Instructor Name,Official Enrollmt,Grades Received,Grades Pct of Enrolled,gpa,A,A-,B+,B,B- ,C+,C,C- ,D+,D,D- ,"F, F+",W,Cr,Nc,Other
Arts,Art and Design, 100,001,"Deal,Raoul G",200,179,89.5%,2.453,16,23,12,24,22,17,17,18,6,7,2,15,13,,,
Arts,Art and Design, 100,Course Total,Course Total,200,179,89.5%,2.453,16,23,12,24,22,17,17,18,6,7,2,15,13,,,
Arts,Art and Design, 101,801,"Prosen,Deidre Rachel",17,15,88.2%,3.021,2,2,5,2,1,2,,,,,,1,2,,,
Arts,Art and Design, 101,802,"Beck,Rosalie A",16,16,100.0%,3.312,4,1,5,5,,,,1,,,,,,,,
Arts,Art and Design, 101,803,"Giese,Kevin G",16,16,100.0%,3.146,6,2,,4,,,2,1,1,,,,,,,
Arts,Art and Design, 101,804,"Beck,Rosalie A",17,17,100.0%,2.981,1,2,5,4,4,,,,,,,1,,,,
Arts,Art and Design, 101,805,"Hayes,Cynthia S",18,18,100.0%,3.316,6,2,1,6,2,,,1,,,,,,,,
Arts,Art and Design, 101,806,"Hayes,Cynthia S",15,13,86.7%,2.770,3,1,1,1,1,1,2,3,,,,,1,,,
Arts,Art and Design, 101,807,"Beck,Rosalie A",17,16,94.1%,3.313,4,3,5,1,2,,,,,1,,,1,,,
Arts,Art and Design, 101,808,"Giese,Kevin G",16,14,87.5%,3.095,4,3,1,,1,3,1,,1,,,,1,,,
Arts,Art and Design, 101,809,"Stromme,Patrick Aaron",17,16,94.1%,3.459,8,3,2,1,1,,,,,,,1,1,,,
Arts,Art and Design, 101,Course Total,Course Total,149,141,94.6%,3.168,38,19,25,24,12,6,5,6,2,1,,3,6,,,
Arts,Art and Design, 106,001,"Osborne,Mary Jo",202,198,98.0%,2.940,40,35,14,34,23,11,19,5,3,4,1,8,1,,,1
Arts,Art and Design, 106,Course Total,Course Total,202,198,98.0%,2.940,40,35,14,34,23,11,19,5,3,4,1,8,1,,,1
Arts,Art and Design, 107,291,"Stroeh,Jason David",14,13,92.9%,2.718,5,1,1,1,,1,,1,1,,,2,,,,
Arts,Art and Design, 107,502,"Prosen,Deidre Rachel",7,5,71.4%,3.400,1,2,1,,,1,,,,,,,2,,,
Arts,Art and Design, 107,503,"Giese,Kevin G",7,6,85.7%,2.443,,,1,2,,1,1,,,1,,,,,,
Arts,Art and Design, 107,507,"Beck,Rosalie A",6,6,100.0%,2.833,1,1,1,2,,,,,,,,1,,,,
Arts,Art and Design, 107,508,"Giese,Kevin G",6,6,100.0%,3.532,3,,1,,,1,,,,,,,,,,1
Arts,Art and Design, 107,509,"Stromme,Patrick Aaron",6,6,100.0%,3.890,4,2,,,,,,,,,,,,,,
Arts,Art and Design, 107,526,"Plock,Jared Patton",13,13,100.0%,2.358,,2,1,3,,2,2,,1,1,,1,,,,
Arts,Art and Design, 107,527,"Massey,Kayla Marie",13,13,100.0%,3.667,9,1,1,1,,,,1,,,,,,,,
Arts,Art and Design, 107,Course Total,Course Total,72,68,94.4%,3.035,23,9,7,9,,6,3,2,2,2,,4,2,,,1
Arts,Art and Design, 108,801,"Hayes,Cynthia S",20,17,85.0%,3.197,4,4,2,2,2,,2,1,,,,,2,,,
Arts,Art and Design, 108,802,"Wagner Lawler,Melissa Linda",22,22,100.0%,2.637,2,4,1,5,1,1,4,1,1,1,,1,,,,
Arts,Art and Design, 108,803,"Bertsch,Jamie Lea",19,19,100.0%,3.615,9,4,2,2,2,,,,,,,,,,,
Arts,Art and Design, 108,804,"Plock,Jared Patton",20,19,95.0%,3.053,4,6,2,3,,1,1,,,,,2,,,,
Arts,Art and Design, 108,805,"Zimpel,Jeffrey Matthew",19,19,100.0%,3.807,14,1,3,,1,,,,,,,,,,,
Arts,Art and Design, 108,806,"Krause,Ethan Thomas",21,20,95.2%,3.485,10,5,,2,2,,,,,,,1,,,,
Arts,Art and Design, 108,807,"Lemna,Laura M",20,20,100.0%,3.051,3,7,1,4,,1,2,1,,,,1,,,,
Arts,Art and Design, 108,Course Total,Course Total,141,136,96.5%,3.251,46,31,11,18,8,3,9,3,1,1,,5,2,,,
Arts,Art and Design, 109,801,"Chi,Raymond D",18,17,94.4%,3.196,5,1,4,1,3,1,2,,,,,,1,,,
Arts,Art and Design, 109,802,"Chi,Raymond D",18,18,100.0%,3.471,4,5,3,4,1,,,,,,,,,,,1
Arts,Art and Design, 109,803,"Roley,Mary B",13,13,100.0%,3.232,4,1,,4,3,1,,,,,,,,,,
Arts,Art and Design, 109,804,"Martin Meurer,Kathryn E",18,17,94.4%,3.313,3,5,2,4,,,2,,,,,,1,,,1
Arts,Art and Design, 109,805,"Bender,John T",17,17,100.0%,3.981,16,1,,,,,,,,,,,,,,
Arts,Art and Design, 109,806,"Bernard,Michael D",18,18,100.0%,3.648,8,5,4,,,,1,,,,,,,,,
Arts,Art and Design, 109,Course Total,Course Total,102,100,98.0%,3.487,40,18,13,13,7,2,5,,,,,,2,,,2
Arts,Art and Design, 118,401,"Willey,Christopher Robert",208,192,92.3%,2.733,46,23,21,25,15,7,15,5,4,6,4,20,10,,,1
Arts,Art and Design, 118,Course Total,Course Total,208,192,92.3%,2.733,46,23,21,25,15,7,15,5,4,6,4,20,10,,,1
Arts,Art and Design, 124,001,"Schmitz,Margaret J",71,68,95.8%,2.419,7,11,8,4,10,2,5,3,3,4,1,9,1,,1,
Arts,Art and Design, 124,Course Total,Course Total,71,68,95.8%,2.419,7,11,8,4,10,2,5,3,3,4,1,9,1,,1,
Arts,Art and Design, 150,291,"Johnston,Tamara K",20,18,90.0%,2.722,8,1,2,1,1,,,,,1,,4,1,,,
Arts,Art and Design, 150,292,"Wait,Chelsea Alison",21,21,100.0%,3.763,15,4,,,1,,,1,,,,,,,,
Arts,Art and Design, 150,803,"Garon,Kari S",20,19,95.0%,3.404,8,4,2,2,2,,,,,,,1,,,,
Arts,Art and Design, 150,804,"Lampert,Nicolas R",19,16,84.2%,3.229,7,4,2,,,1,,,,,,2,1,,,
Arts,Art and Design, 150,Course Total,Course Total,80,74,92.5%,3.302,38,13,6,3,4,1,,1,,1,,7,2,,,
Arts,Art and Design, 152,291,"Massey,Kayla Marie",50,44,88.0%,2.923,12,12,3,4,,3,,2,1,,,6,2,,,1
Arts,Art and Design, 152,Course Total,Course Total,50,44,88.0%,2.923,12,12,3,4,,3,,2,1,,,6,2,,,1
Arts,Art and Design, 201,801,"Prosen,Deidre Rachel",20,19,95.0%,3.438,4,3,7,5,,,,,,,,,1,,,
Arts,Art and Design, 201,802,"Giese,Kevin G",20,19,95.0%,3.492,8,4,,5,1,,1,,,,,,1,,,
Arts,Art and Design, 201,Course Total,Course Total,40,38,95.0%,3.465,12,7,7,10,1,,1,,,,,,2,,,
Arts,Art and Design, 212,801,"Willey,Christopher Robert",18,17,94.4%,3.314,9,2,,1,2,1,,,1,1,,,,,,
Arts,Art and Design, 212,802,"Berens,Emily M",18,17,94.4%,3.750,15,,,,,,,,,,,1,,,,1
Arts,Art and Design, 212,Course Total,Course Total,36,34,94.4%,3.525,24,2,,1,2,1,,,1,1,,1,,,,1
Arts,Art and Design, 221,801,"Hawk,Adam",17,16,94.1%,3.126,2,5,2,2,2,1,1,,1,,,,,,,
Arts,Art and Design, 221,802,"Hawk,Adam",18,18,100.0%,2.444,,4,3,2,,3,1,1,2,,,2,,,,
