,Cla Subject Ldesc,Class,Official Enrollmt,gpa,A,B,C,D,F
0,Music,127,35,2.98,11.0,14.0,7.0,1.0,1.0
1,Business Administration,335,30,3.047,12.0,9.0,3.0,3.0,1.0
2,Business Administration,404,34,3.019,11.0,14.0,8.0,0.0,1.0
3,Business Administration,404,25,2.987,6.0,13.0,5.0,0.0,0.0
4,Business Administration,409,31,2.9560000000000004,5.0,20.0,4.0,1.0,1.0
5,Business Administration,409,34,2.9610000000000003,3.0,27.0,4.0,0.0,0.0
6,Business Administration,451,29,2.9130000000000003,3.0,20.0,2.0,2.0,0.0
7,Business Administration,453,25,2.988,11.0,9.0,2.0,2.0,1.0
8,Business Administration,454,27,3.013,7.0,11.0,7.0,0.0,0.0
9,Business Administration,551,34,2.9210000000000003,11.0,12.0,8.0,3.0,0.0
10,Business Administration,600,35,3.091,9.0,22.0,0.0,1.0,1.0
11,Business Administration,703,25,2.986,10.0,6.0,6.0,0.0,1.0
12,Business Management,705,27,3.087,11.0,10.0,5.0,0.0,1.0
13,Curriculum and Instruction,112,30,3.087,12.0,9.0,4.0,1.0,1.0
14,Curriculum and Instruction,301,30,2.954,10.0,13.0,3.0,1.0,2.0
15,Curriculum and Instruction,650,30,2.9530000000000003,15.0,5.0,4.0,1.0,3.0
16,Educational Psychology,330,35,3.01,10.0,15.0,7.0,1.0,0.0
17,Exceptional Education,303,26,3.054,6.0,15.0,4.0,0.0,0.0
18,Exceptional Education,330,31,3.045,4.0,20.0,5.0,0.0,0.0
19,Civil & Envrnmntal Engineering,456,26,3.0380000000000003,7.0,13.0,6.0,0.0,0.0
20,Industrial/Manufacturing Engr,583,25,3.08,10.0,8.0,7.0,0.0,0.0
21,Mechanical Engineering,469,30,2.918,7.0,12.0,7.0,3.0,0.0
22,Commun Sciences & Disorders,380,29,3.036,15.0,6.0,6.0,1.0,1.0
23,Kinesiology,200,29,2.947,10.0,4.0,1.0,2.0,2.0
24,Information Studies,310,35,3.059,16.0,12.0,2.0,1.0,3.0
25,Information Studies,370,26,3.042,8.0,12.0,3.0,0.0,1.0
26,African & African Diaspora St,125,25,2.95,8.0,7.0,3.0,0.0,2.0
27,Anthropology,403,28,2.975,6.0,14.0,6.0,0.0,0.0
28,Art History,250,33,2.92,12.0,5.0,5.0,1.0,2.0
29,Art History,472,34,2.951,13.0,5.0,7.0,0.0,2.0
30,Biological Sciences,529,28,3.04,11.0,7.0,6.0,0.0,1.0
31,Chemistry and Biochemistry,341,33,3.011,14.0,10.0,4.0,3.0,1.0
32,Communication,101,27,3.0,6.0,13.0,1.0,1.0,1.0
33,Communication,363,25,3.097,10.0,7.0,4.0,0.0,0.0
34,Communication,410,25,2.917,7.0,9.0,1.0,2.0,1.0
35,Economics,210,26,2.937,13.0,7.0,3.0,1.0,2.0
36,Economics,325,35,2.918,12.0,11.0,7.0,1.0,1.0
37,English,205,26,3.054,7.0,13.0,5.0,0.0,0.0
38,English,205,26,2.903,4.0,16.0,2.0,1.0,1.0
39,English,205,26,2.957,14.0,4.0,0.0,0.0,5.0
40,English,205,25,2.914,12.0,6.0,1.0,1.0,3.0
41,English,215,26,3.0,7.0,12.0,4.0,1.0,0.0
42,English,215,25,3.044,9.0,10.0,2.0,1.0,1.0
43,English,233,25,2.954,8.0,9.0,2.0,0.0,3.0
44,English,310,25,3.03,7.0,11.0,5.0,0.0,0.0
45,English,517,25,2.931,7.0,12.0,3.0,2.0,0.0
46,Food & Beverage Studies,101,25,2.934,10.0,9.0,3.0,1.0,2.0
47,Geosciences,106,31,3.013,12.0,8.0,2.0,2.0,2.0
48,Linguistics,210,26,3.026,9.0,11.0,5.0,1.0,0.0
49,Linguistics,210,25,3.0980000000000003,11.0,10.0,0.0,1.0,2.0
50,Mathematical Sciences,98,28,3.0,16.0,4.0,4.0,1.0,3.0
51,Mathematical Sciences,98,30,3.045,15.0,7.0,5.0,1.0,2.0
52,Mathematical Sciences,98,29,3.036,10.0,12.0,4.0,1.0,1.0
53,Mathematical Sciences,105,28,3.039,13.0,6.0,5.0,1.0,1.0
54,Mathematical Sciences,105,28,2.9360000000000004,9.0,10.0,4.0,2.0,1.0
55,Mathematical Sciences,105,27,3.087,12.0,5.0,3.0,2.0,1.0
56,Mathematical Sciences,108,25,2.9330000000000003,9.0,7.0,6.0,3.0,0.0
57,Mathematical Sciences,232,32,3.049,12.0,8.0,3.0,2.0,2.0
58,Mathematical Sciences,233,32,3.011,10.0,14.0,5.0,2.0,0.0
59,Philosophy,101,29,3.059,11.0,5.0,6.0,1.0,0.0
60,Philosophy,243,25,3.035,7.0,8.0,2.0,2.0,0.0
61,Philosophy,250,30,3.017,10.0,8.0,1.0,0.0,2.0
62,Political Science,361,33,3.011,8.0,17.0,2.0,3.0,0.0
63,Sociology,361,33,3.092,10.0,14.0,4.0,0.0,1.0
64,Women's and Gender Studies,201,35,3.043,11.0,13.0,6.0,0.0,1.0
65,Nursing,673,28,3.048,5.0,21.0,2.0,0.0,0.0
66,Criminal Justice,105,28,2.988,18.0,3.0,0.0,1.0,5.0
67,Criminal Justice,460,32,2.969,15.0,9.0,4.0,1.0,2.0
68,Criminal Justice,662,28,2.904,9.0,9.0,8.0,1.0,1.0
69,Social Work,753,31,2.964,7.0,14.0,6.0,0.0,1.0
70,Architecture,380,27,2.987,5.0,16.0,4.0,0.0,1.0
71,Urban Planning,316,28,3.043,7.0,14.0,2.0,1.0,0.0
